Instructions, ScienceQA, PuzzleVQA, MMMU, MVSA-Single, MVSA-Multiple, TumEmo, MOSI-2, MOSI-7, MOSEI-2, MOSEI-7, Twitter-2015, Twitter-2017, MASAD, Hate, Sarcasm, MNRE, Wins1, Wins3

# LLMs
# 1, -34.8,-,-, 45.82, 38.87, 21.3, 23.31, 33.34, 24.02, 38.88, 11.27, 26.92, 30.55, 18.89, 28.83, 26.64, 2, 11
# 2, 10.86,-,-, 39.77, 32.15, 22.85, 24.99, 34.09, 28.33, 42.55, 15.34, 26.06, 40.88, 20.59, 17.18, -13.15, 5, 10
# 3, 5.35,-,-, -31.52, -20.19, -27.74, 7.14, 1.47, -8.4, -14.86, 47.78, 20.12, -9.04, 4.36, -14.16, 18.94, 0, 1
# 4, -31.96,-,-, -34.92, -30.23, -9.9, -29.31, -16.24, -25.12, -14.93, -52.4, -54.08, -55.31, 2.22, 30.9, -45.35, 1, 1
# 5, 40.33,-,-, 3.15, 14.05, 13.52, 20.05, 19.21, 0.13, 14.49, 48.73, 32.27, 12.54, 21.87, 2.24, 97.96, 4, 8
# 6, 27.15,-,-, 8.38, 10.18, 19.21, -12.44, -4.35, -5.02, 4.19, 3.59, 6.33, 14.04, -32.51, -12.14, -50.15, 0, 1 
# 7, 41.61,-,-, 20.04, 21.21, 21.77, 5.16, -26.04, 17.59, -27.95, 20.66, 26.78, 39.83, 21.71, 12.38, 61.19, 1, 10
# 8, -37.11,-,-, 4.09, 4.95, -7.54, -8.42, -4.17, 4.9, -7.24, -42.7, -38.9, -36.5, -1.31, -16.69, -47.31, 0, 0
# 9, 4.22,-,-, -31.77, -38.78, -19.21, 2.24, 0.36, -10.3, -0.44, -14.47, -7.95, -0.67, -41.0, -22.52, -26.07 , 0, 0
# 10, -25.66,-,-, -23.04, -32.21, -34.26, -32.72, -37.66, -26.13, -34.68, -37.82, -37.55, -36.32, -14.82, -26.02, -22.72, 0, 0


# MLLMs
# 1, -19.75, -13.23, -10.3, 10.31, 5.53, 17.92, 15.73, 19.69, 6.83, 16.37, 1.53, 7.05, 0.27, -2.78, 6.55, 1.24, 1, 7
# 2, 7.72, 7.76, 7.3, 16.74, 18.83, 15.26, 14.98, 31.33, 12.37, 24.94, 10.9, 15.13, 12.37, 8.92, 10.51, 0.66, 5, 13
# 3, 14.11, 14.51, 6.22, -10.21, -6.26, -7.74, -4.13, -16.42, -1.2, -8.8, 2.7, -2.57, -4.43, 5.63, -7.63, 20.19, 1, 3
# 4, -13.44, -15.88, -13.86, -5.53, -4.12, -4.56, -6.68, -1.77, -6.18, -1.05, -7.47, -6.63, -7.68, -6.64, 3.49, -17.83, 0, 0
# 5, 29.24, 15.86, 17.0, -10.11, -7.27, -10.12, 4.67, -7.49, 3.68, -8.2, 11.85, 4.87, 0.52, 18.63, 2.11, 15.51, 4, 6
# 6, -6.04, -4.25, 0.98, 6.57, 10.89, 2.63, -7.77, 0.84, -0.73, 7.52, 9.76, 8.33, 9.06, -7.43, 1.4, 0.31, 0, 5
# 7, 19.13, 8.57, 11.04, 17.0, 11.39, 5.9, 17.61, -10.83, 22.93, -3.01, 7.2, 8.25, 18.86, 22.8, 10.44, 2.1, 5, 13
# 8, -18.06, -9.34, -10.81, -11.36, -12.9, -5.47, -19.73, -10.53, -22.1, -18.24, -20.04, -20.28, -19.21, -17.77, -11.29, -12.11, 0, 0
# 9, 2.93, 5.79, 1.51, -1.32, -2.14, -3.02, 0.05, 8.84, 0.26, 5.07, -3.63, -3.13, -1.63, -11.52, -8.64, -5.73, 0, 1
# 10, -15.83, -9.8, -9.09, -12.08, -13.96, -10.81, -14.73, -13.66, -15.86, -14.61, -12.8, -11.02, -8.13, -9.84, -6.94, -4.35, 0, 0
